url,label
patnacovidhelp.com,bad
covid19doctors.com,bad
thecovid-19isover.com,bad
e-quarantinepass.ga,bad
covid-19vaccinationpassport.eu,bad
covid19travel.club,bad
covid19helpline.net,bad
lnstagramcovid19support.ml,bad
covid19pcr.online,bad
covid19-copyrightbadges.ml,bad
covid19navsari.online,bad
covid19pcr.nl,bad
covid19-finance.org,bad
swamivivekanandcovidhospital.in.net,bad
covid19alimi.ga,bad
osservatorio-coronavirus.it,bad
covid19telangana.org,bad
covid19dream.com,bad
covid19virus.org,bad
coronafather.com,bad
wwwcoronavirus.com,bad
covid-19-certificaat.nl,bad
eucovid-19certificate.nl,bad
covid19vaccinedream.com,bad
covid19vaccinedreams.com,bad
covidfather.com,bad
eucovid19certificate.nl,bad
covid19vaccineshow.com,bad
smallbusiness-supportcovid19-sba.org,bad
ulabreportspcovid19tracks.in,bad
corona-covid19-schnelltest.at,bad
eucovid-19-certificate.com,bad
safestcruiseaftercoronavirus.com,bad
bestcruisepostcoronavirus.com,bad
covid-19certificates.com,bad
covid19help.directory,bad
eucovid-19certificate.com,bad
covid19pass.app,bad
99coromandel.com,bad
covidkills.cf,bad
web-covidhelps.ml,bad
covid-19-zertifikat.com,bad
freecovid-19help.org,bad
covid19-staffing.com,bad
mobiler-coronatest-vorort.de,bad
covid19kills.ml,bad
coronatest-vor-ort.de,bad
covid-19-twitter.in,bad
verifiedcovid19help.ga,bad
covid19eu.org,bad
covid19analyses.com,bad
eucovid-19certificate.site,bad
web-covidhelp.ml,bad
eucovid-19-certificaat.com,bad
stopcoronavirus.net,bad
covid19kills.cf,bad
sarscov2detector.com,bad
covid19vaccinesurvey.com,bad
covid19testedich.de,bad
ao-hosting-quarantine.com,bad
covidpills.biz,bad
covid19assist.in,bad
covid-19-vaccine-injury.com,bad
covid-19oralmedication.com,bad
wydcoronavirus.cf,bad
co-vid19dayanismavakfi.org,bad
covidpill.biz,bad
covid-19fc.co.za,bad
covid19info.ca,bad
quarantena40.ml,bad
covid19stimulus.us,bad
unas-covid19.net,bad
covid19hospital.info,bad
getpokedvaccine4covid.com,bad
13-14coronationdrivestuartpark.com,bad
eucovid19certificate.com,bad
covid19gt.cf,bad
janssencovid19vaccine.com.au,bad
covid19offer.cf,bad
"covidvaccines2021.com	",bad
researchdatacoronavirus677889006center.com,bad
covid19pbm.com,bad
covids19law.com,bad
covidpune.ga,bad
covid19solutions-masimo.com,bad
janssencovid19vaccine.com.ph,bad
covidvirus.ca,bad
covid19-india.org,bad
fight-covid.online,bad
covid19care.net.in,bad
novelcoronavirus-dk.com,bad
vaccineforcoronavirus.com,bad
covid19-situation.online,bad
quarantinehotelinnepal.com,bad
covid-19spl.com,bad
covid19structure.com,bad
post-covid19-syndrom.com,bad
covid19vaccinefoundation.com,bad
covidwala.com,bad
covid-19-twiter.in,bad
covid19-ausweis.eu,bad
corona-data.ml,bad
mycovid19test.today,bad
assamcovidhelpline.live,bad
indiacovidhelp.info,bad
thecovid19files.net,bad
novelcoronavirus-se.com,bad
covid19financialhelp.com,bad
tamponecoronavirus.it,bad
novelcoronavirus-cz.com,bad
post-covid19-syndrom.ch,bad
covid-info.ml,bad
shopchuyenkhautrangcovid19nuocruacovid19vatbvpthietyeu.vn,bad
covid19ppam.com,bad
covid19indiaresources.in,bad
covidi19immuun.nl,bad
covid555.xyz,bad
coronavirusisdeath.blog,bad
covid19-testzentrum-sbahnhof-friedenau.de,bad
covidisdeath.blog,bad
covid19testzentrum.com,bad
covidverifiedinfo.com,bad
amdcovid.help,bad
covid19-donate.in,bad
therealcovid19numbers.info,bad
covid19followup.com,bad
chronopostcovid19secondaire.com,bad
postcoronavirus.it,bad
covid19sprayonline.com,bad
covid19safetybox.nl,bad
covid-19-test-berlin.de,bad
covid19hypertwitter.in,bad
covid19vaccineimperialbeach.com,bad
thebigcovidhoax.com,bad
getcovid19vaccine.info,bad
covid19search.in,bad
covidhelpcenter.in,bad
covid19vaccine-ghpharmacyonline.com,bad
covid19paal.nl,bad
covid19care.co.in,bad
covid19-vaccines.tk,bad
covidrelif.ga,bad
nikoyowuhanfortest.xyz,bad
covid19doc.com,bad
covid19safetybox.de,bad
covid19souvenir.com,bad
kpcovidsupport.com,bad
buycovid19spray.com,bad
helpstopcoronavirus.org,bad
covid-twitter.ml,bad
covid19vaccinecentre.in,bad
covid-19vaccine.club,bad
coronawarriors.club,bad
covid19homeremedy.com,bad
covidverified.in,bad
covid19twitter.com,bad
coviduy.ml,bad
worldcoronavirusreport.xyz,bad
covid19-twitter.com,bad
covid19-twitrer.in,bad
covideo19world.com,bad
admin-covid19-mhpolice.in,bad
covid19certificate.org,bad
covid19flupcr.com,bad
covid19sertifikat.com,bad
covid19lko.xyz,bad
covid-19-emotion-visualization.com,bad
covid-19-onlinetambola.com,bad
coronaseva.com,bad
rppcovid19pcr.com,bad
covidr19eport.in,bad
g0vc0vidlnfo.com,bad
"chronopostcovid19service.com	",bad
covid19-twittrr.in,bad
xocoronavirus.com.br,bad
corona-virus.co,bad
covid19mapolice.in,bad
g0vc0vidservices.com,bad
covid19influenzapcr.com,bad
covid19-twittter.in,bad
covid19in.net,bad
financepostcovid.com,bad
covidcode.blue,bad
covidvaccinated-id.com,bad
covidsavers.in,bad
admin-covid19mhpolice.in,bad
covid19-titter.in,bad
rajahmundry-covid19-resources.ml,bad
covid19helpleads.online,bad
covid19helper.in,bad
covidtestingfeasterville.com,bad
covid19-twiteer.in,bad
covidprize.com,bad
covid19vacunacion.com,bad
covid19-vaccine-md.net,bad
covidq9-twitter.in,bad
covid19sos.in,bad
g0vc0vidcand.com,bad
covid-vaccine.ml,bad
covid19-vaccine.com,bad
covid19rwlief.in,bad
feastervillecovidtesting.com,bad
covd19-twitter.in,bad
covid-19information.online,bad
perm-coronavirus.ru,bad
covid19-twittet.in,bad
covid19-vaccine-md.com,bad
covid19-tweets.in,bad
g0vc0vidaccess.com,bad
covid19--twitter.in,bad
oakestatescovidtesting.com,bad
covid19-twtter.in,bad
covidhelpnetwork.info,bad
covid19-track.in,bad
helpcovidpatientwithevg.in,bad
covid19indiahelp.org,bad
covid19sos.org,bad
covidhelpers.me,bad
